"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C201,C202,C203,C204,C205,C206,C207,C208","470pF","~","","8",""
"C209,C301,C420,C421,C423,C424,C429,C430,C436,C438,C440,C441,C526,C527,C528,C529,C530,C531,C539,C540,C541,C542,C624,C625,C626,C627,C628,C629,C637,C638,C639,C640,C724,C725,C726,C727,C728,C729,C737,C738,C739,C740,C824,C825,C826,C827,C828,C829,C837,C838,C839,C840,C1002","1uF","~","","53",""
"C210,C211,C212,C213,C214,C215,C216,C302,C303,C304,C305,C306,C307,C308,C402,C404,C406,C409,C426,C427,C428,C432,C433,C446,C505,C506,C508,C510,C522,C523,C524,C538,C603,C604,C606,C608,C620,C621,C622,C636,C703,C704,C706,C708,C720,C721,C722,C736,C803,C804,C806,C808,C820,C821,C822,C836,C903,C904,C906,C908,C924,C1004,C1014,C1020,C1101,C1106,C1110,C1114,C1118,C1122,C1126,C1130,C1134,C1138,C1142,C1144,C1146,C1148,C1150,C1152,C1154,C1156,C1158,C1160,C1163,C1165,C1167","0.1uF","~","","87",""
"C217,C218","2200pF","~","","2",""
"C219,C220","12pF","~","","2",""
"C401,C403,C405,C412,C414,C416,C418,C502,C504,C507,C514,C515,C516,C517,C601,C602,C605,C612,C613,C614,C615,C701,C702,C705,C712,C713,C714,C715,C801,C802,C805,C812,C813,C814,C815,C901,C902,C905,C913,C914,C916,C921,C922,C923,C925,C1015,C1021,C1023,C1102,C1105,C1109,C1113,C1117,C1121,C1125,C1129,C1133,C1137,C1141,C1143,C1145,C1147,C1149,C1151,C1153,C1155,C1157,C1159,C1161,C1162,C1164,C1166","10uF","~","","72",""
"C407,C408,C509,C511,C607,C609,C707,C709,C807,C809,C907,C909,C1005,C1006,C1010","2.2uF","~","","15",""
"C410,C411,C512,C513,C610,C611,C710,C711,C810,C811,C911","1000pF","~","","11",""
"C413,C415,C417,C419,C518,C519,C520,C521,C616,C617,C618,C619,C716,C717,C718,C719,C816,C817,C818,C819,C910,C912","100pF","~","","22",""
"C422,C425,C532,C533,C630,C631,C730,C731,C830,C831","1000uF","~","","10",""
